time_stamp_sec,position_x,position_y,heading_angle,velocity_x,velocity_y,omega,duty_cycle,delta,erpm
1704705400.745789,0.7414818406105042,1.7309505939483643,4.795942330355143,-95.87094914799506,-50.78728795536369,0.011299383167181286,0.0,0.0,0.0
1704705400.7621973,0.7416718602180481,1.7285484075546265,4.796372159316834,-96.842666372565,-51.35008215243771,0.013885991702286412,0.0,0.0,0.0
1704705400.7789667,0.7420699000358582,1.7252358198165894,4.795998120302653,-97.16949800675461,-51.57294973643397,0.007639526344793494,0.0,0.0,0.0
1704705400.7955701,0.7425453066825867,1.7214285135269165,4.795231405888693,-97.65860602728537,-51.879898475660085,-0.001684818317204381,0.0,0.0,0.0
1704705400.8126059,0.7427030801773071,1.7176018953323364,4.794909818961915,-97.71406918658,-51.95985549479064,-0.004690627078697031,0.0,0.0,0.0
1704705400.8287556,0.7430500984191895,1.7128149271011353,4.792981330548422,-98.23229698152002,-52.261796130700844,-0.02424074706522649,0.0,0.0,0.0
1704705400.8459272,0.743499219417572,1.707197666168213,4.792093539232707,-97.80747955284826,-52.06776851433216,-0.028993800244938115,0.0,0.0,0.0
1704705400.8628156,0.7440528869628906,1.7009878158569336,4.791598939890361,-97.81866570389175,-52.1251008125477,-0.029094148729166096,0.0,0.0,0.0
1704705400.8795578,0.7447463274002075,1.6943994760513306,4.791926725700196,-97.63460396231953,-52.11417808866982,-0.020709425536498786,0.0,0.0,0.0
1704705400.9036744,0.7456313371658325,1.6831074953079224,4.789872511222657,-92.32184031388397,-49.34105381876557,-0.03177346440769184,0.0,0.0,0.0
1704705400.9205465,0.7463452219963074,1.6749866008758545,4.788540943458375,-92.85800514067195,-49.723243345537604,-0.039887721787506575,0.0,0.0,0.0
1704705400.9367726,0.7470482587814331,1.6664150953292847,4.7877026239978235,-93.83539378661871,-50.3591399727907,-0.041883092832066135,0.0,0.0,0.0
1704705400.953756,0.7474591732025146,1.657751202583313,4.787688318883077,-93.94135191760653,-50.54955936410915,-0.034796222674422186,0.0,0.0,0.0
1704705400.9706175,0.7485073804855347,1.6483008861541748,4.7868762652026575,-94.05713408634774,-50.761902817165584,-0.03714218753091893,0.0,0.0,0.0
1704705400.9875782,0.7497244477272034,1.6384353637695312,4.786069575940267,-93.88268302754621,-50.83300023503788,-0.03893825569520883,0.0,0.0,0.0
1704705401.0041087,0.7508984208106995,1.6281778812408447,4.786030912394023,-94.10671503969203,-51.157389446091,-0.03261899287809044,0.0,0.0,0.0
1704705401.0209336,0.7517907619476318,1.617727518081665,4.786509696637289,-93.82294882019785,-51.236754444864445,-0.022077577909302856,0.0,0.0,0.0
1704705401.0373547,0.7527344226837158,1.6067547798156738,4.787468377743856,-93.87910108761362,-51.551318746337394,-0.008181171339612232,0.0,0.0,0.0
1704705401.0538952,0.7536988258361816,1.5952504873275757,4.7884239991453255,-93.6763346584947,-51.760271169565335,0.003209034580599953,0.0,0.0,0.0
1704705401.0705807,0.7544777989387512,1.5839288234710693,4.7888590335793255,-93.15505077239995,-51.80656115095485,0.0071308506352214295,0.0,0.0,0.0
